GeneID	Locus.ID	Accession	HCT-116 Z-score	HKE-3 Z-score	D Z-score
SUMO1	7341	NM_003352	-0.02	-0.1	0.08
ADH4	127	NM_000670	0.29	0.21	0.08
MAX	4149	NM_002382	-0.14	-0.22	0.08
NP	4860	NM_000270	-0.53	-0.61	0.08
PML	5371	NM_002675	-0.9	-0.98	0.08
ZP2	7783	NM_003460	0.96	0.88	0.08
MATP	51151	NM_016180	-0.87	-0.95	0.08
PM5	23420	NM_014287	-0.74	-0.82	0.08
CNTN1	1272	NM_001843	0.41	0.33	0.08
F8	2157	NM_000132	0.35	0.27	0.08
HR	55806	NM_005144	-0.55	-0.63	0.08
SAP30	8819	NM_003864	-0.66	-0.74	0.08
POP4	10775	NM_006627	-0.86	-0.94	0.08
TOP1MT	116447	NM_052963	-1.57	-1.65	0.08
STK22B	23617	NM_053006	1.61	1.54	0.07
CPA6	57094	NM_020361	-0.98	-1.05	0.07
HSD17B7	51478	NM_016371	-0.97	-1.04	0.07
IMPDH2	3615	NM_000884	-0.71	-0.78	0.07
CNOT4	4850	NM_013316	-1	-1.07	0.07
SLC25A5	292	NM_001152	-1.21	-1.28	0.07
ARHGEF17	9828	NM_014786	-0.59	-0.66	0.07
ING3	54556	NM_019071	-1.42	-1.49	0.07
ZNFN1A1	10320	NM_006060	-0.95	-1.02	0.07
NFKB1	4790	NM_003998	-1.03	-1.1	0.07
TGIF2LY	90655	NM_139214	-0.7	-0.77	0.07
PR48	28227	NM_013239	-0.95	-1.02	0.07
ARMET	7873	NM_006010	-0.98	-1.05	0.07
CD97	976	NM_001784	-0.38	-0.45	0.07
GATM	2628	NM_001482	0.31	0.24	0.07
RAB21	23011	NM_014999	0.14	0.07	0.07
COPS3	8533	NM_003653	0.23	0.16	0.07
KIAA0605	9719	NM_014694	-0.36	-0.43	0.07
BRPF1	7862	NM_004634	-0.42	-0.49	0.07
SELP	6403	NM_003005	-0.33	-0.4	0.07
HSF2	3298	NM_004506	-0.09	-0.16	0.07
TAF6L	10629	NM_006473	-0.08	-0.15	0.07
SETDB2	83852	NM_031915	0.15	0.08	0.07
FLJ13855	65264	NM_023079	-0.68	-0.75	0.07
UBCE7IP5	22888	NM_014948	-0.67	-0.74	0.07
PTPN23	25930	NM_015466	0.59	0.52	0.07
SP2	6668	NM_003110	-0.51	-0.58	0.07
WTAP	9589	NM_004906	-0.75	-0.82	0.07
LGALS12	85329	NM_033101	-0.62	-0.69	0.07
ZFP95	23660	NM_014569	0.7	0.63	0.07
MTMR9	66036	NM_015458	-0.51	-0.58	0.07
DDR1	780	NM_001954	1.69	1.62	0.07
OR2B2	81697	NM_033057	1.19	1.12	0.07
IRLB	10260	NM_005848	-1.32	-1.39	0.07
SIGLECL1	89858	NM_033329	-1.06	-1.13	0.07
MCF2	4168	NM_005369	-1.33	-1.4	0.07
DAPK1	1612	NM_004938	1.49	1.43	0.06
OR3A2	4995	NM_002551	1.71	1.65	0.06
OR7A5	26659	NM_017506	0.63	0.57	0.06
PTGFR	5737	NM_000959	1.01	0.95	0.06
IL1RN	3557	NM_000577	0.79	0.73	0.06
FGF1	2246	NM_000800	1.98	1.92	0.06
CBLN1	869	NM_004352	-0.47	-0.53	0.06
MYL6	4637	NM_021019	0.63	0.57	0.06
SMARCB1	6598	NM_003073	-0.59	-0.65	0.06
RABL4	11020	NM_006860	-0.99	-1.05	0.06
APRIN	23047	NM_015032	-0.82	-0.88	0.06
HSU24186	29935	NM_013347	-1.43	-1.49	0.06
MADCAM1	8174	NM_130760	-0.87	-0.93	0.06
HOXA9	3205	NM_002142	-0.7	-0.76	0.06
SUFU	51684	NM_016169	-0.48	-0.54	0.06
ARF4L	379	NM_001661	1.2	1.14	0.06
UBE2L6	9246	NM_004223	-1.43	-1.49	0.06
RUVBL1	8607	NM_003707	-1.03	-1.09	0.06
KCNH5	27133	NM_139318	-0.85	-0.91	0.06
MADD	8567	NM_003682	-1.29	-1.35	0.06
ANGPTL3	27329	NM_014495	-0.71	-0.77	0.06
CAMK2G	818	NM_001222	0.17	0.11	0.06
DRAP1	10589	NM_006442	-0.01	-0.07	0.06
BUB1B	701	NM_001211	0.37	0.31	0.06
OR2C1	4993	NM_012368	0.19	0.13	0.06
TNFRSF21	27242	NM_014452	-0.28	-0.34	0.06
KCNA10	3744	NM_005549	0.06	0	0.06
SLC25A13	10165	NM_014251	-0.18	-0.24	0.06
STAR	6770	NM_000349	-0.42	-0.48	0.06
CXCL5	6374	NM_002994	-0.07	-0.13	0.06
KIAA0960	23249	XM_371877	-0.16	-0.22	0.06
MGC90512	121642	NM_001001655	0.41	0.35	0.06
SH3BP2	6452	NM_003023	-0.44	-0.5	0.06
RANBP6	26953	NM_012416	0.25	0.19	0.06
KIAA0663	9877	XM_378929	-0.17	-0.23	0.06
EGR1	1958	NM_001964	-0.3	-0.36	0.06
FOXC2	2303	NM_005251	-0.33	-0.39	0.06
TAF11	6882	NM_005643	0.08	0.02	0.06
TBX1	6899	NM_005992	-0.34	-0.4	0.06
HUWE1	10075	NM_031407	-0.63	-0.69	0.06
SSH1	54434	NM_018984	0.73	0.67	0.06
TREM5	124599	NM_174892	0.73	0.67	0.06
IL1R2	7850	NM_004633	-0.55	-0.61	0.06
CRB1	23418	NM_012076	-0.79	-0.85	0.06
MAP2	4133	NM_002374	0.94	0.88	0.06
MYL9	10398	NM_006097	-0.91	-0.97	0.06
RPS6KL1	83694	NM_031464	1.39	1.33	0.06
UBL4	8266	NM_014235	-1.35	-1.41	0.06
FLJ35107	348825	XM_496631	3.95	3.9	0.05
GRPR	2925	NM_005314	-0.35	-0.4	0.05
SOAT2	8435	NM_003578	-0.98	-1.03	0.05
INPPL1	3636	NM_001567	0.91	0.86	0.05
CEP1	11064	NM_007018	-0.51	-0.56	0.05
DTNBP1	84062	NM_032122	0.62	0.57	0.05
INSIG1	3638	NM_005542	-0.62	-0.67	0.05
ALS2CR19	117583	NM_152526	-0.85	-0.9	0.05
PARD3	56288	NM_019619	-1.38	-1.43	0.05
REPS2	9185	NM_004726	-0.58	-0.63	0.05
SSR3	6747	NM_007107	-0.95	-1	0.05
HOXA4	3201	NM_002141	-1.13	-1.18	0.05
TMF1	7110	NM_007114	-0.97	-1.02	0.05
ABHD6	57406	NM_020676	-1.48	-1.53	0.05
ACSL3	2181	NM_004457	-1.48	-1.53	0.05
GTF2H2	2966	NM_001515	-0.21	-0.26	0.05
HIBCH	26275	NM_014362	-0.15	-0.2	0.05
PRPF4	9128	NM_004697	0.2	0.15	0.05
CALCRL	10203	NM_005795	0.02	-0.03	0.05
NEUROD1	4760	NM_002500	0.11	0.06	0.05
YES1	7525	NM_005433	-0.39	-0.44	0.05
SRM	6723	NM_003132	-0.38	-0.43	0.05
ALKBH	8846	NM_006020	-0.2	-0.25	0.05
HBQ1	3049	NM_005331	0.5	0.45	0.05
LOC93380	93380	NM_173470	0.19	0.14	0.05
PH-4	54681	NM_017732	0.51	0.46	0.05
SCN11A	11280	NM_014139	-0.39	-0.44	0.05
SGCE	8910	NM_003919	-0.32	-0.37	0.05
CNOT8	9337	NM_004779	0.21	0.16	0.05
ADAMTS20	80070	NM_025003	-0.27	-0.32	0.05
SETMAR	6419	NM_006515	-0.31	-0.36	0.05
TAS2R46	259292	NM_176887	0.82	0.77	0.05
WWP1	11059	NM_007013	-0.81	-0.86	0.05
WNT10A	80326	NM_025216	-0.52	-0.57	0.05
TXNRD3	114112	XM_051264	-0.81	-0.86	0.05
BBC3	27113	NM_014417	-0.8	-0.85	0.05
FLJ10511	55156	NM_018120	-0.66	-0.71	0.05
ARID4B	51742	NM_016374	-0.89	-0.94	0.05
ELF1	1997	NM_172373	0.73	0.68	0.05
ZFX	7543	NM_003410	-0.65	-0.7	0.05
ACAA1	30	NM_001607	-0.92	-0.97	0.05
PPP2R2A	5520	NM_002717	-0.9	-0.95	0.05
FLJ20574	54986	NM_017886	1.42	1.37	0.05
PLK4	10733	NM_014264	3.3	3.25	0.05
INSAF	3637	S73205	-1.09	-1.14	0.05
PSEN2	5664	NM_000447	1.63	1.58	0.05
AKAP8	10270	NM_005858	2.81	2.77	0.04
LTK	4058	NM_002344	1.52	1.48	0.04
SNRK	54861	NM_017719	0.28	0.24	0.04
ITPA	3704	NM_033453	-0.95	-0.99	0.04
PYCRL	65263	NM_023078	1.08	1.04	0.04
LCN1	3933	NM_002297	0.67	0.63	0.04
CLN6	54982	NM_017882	-1.14	-1.18	0.04
SKI	6497	NM_003036	1.37	1.33	0.04
Raptor	57521	NM_020761	-0.89	-0.93	0.04
CEBPG	1054	NM_001806	-0.48	-0.52	0.04
HNRPUL1	11100	NM_007040	1.01	0.97	0.04
SCA1	6310	NM_000332	-0.99	-1.03	0.04
HAND1	9421	NM_004821	-0.24	-0.28	0.04
AUTS2	26053	NM_015570	-0.73	-0.77	0.04
DOCK1	1793	NM_001380	-0.7	-0.74	0.04
EBAG9	9166	NM_004215	-1.4	-1.44	0.04
GPR82	27197	NM_080817	-0.12	-0.16	0.04
OR2H1	26716	NM_030883	0.22	0.18	0.04
FKRP	79147	NM_024301	0.14	0.1	0.04
ACVRL1	94	NM_000020	0.05	0.01	0.04
GPR44	11251	NM_004778	-0.01	-0.05	0.04
USP24	23358	XM_165973	-0.07	-0.11	0.04
DCK	1633	NM_000788	0.35	0.31	0.04
PDHA2	5161	NM_005390	-0.26	-0.3	0.04
UBE2E1	7324	NM_003341	0.31	0.27	0.04
TRPC6	7225	NM_004621	0.36	0.32	0.04
DKFZP564D1378	84064	NM_032124	0.47	0.43	0.04
GAS7	8522	NM_003644	-0.37	-0.41	0.04
PHTF2	57157	NM_020432	-0.4	-0.44	0.04
VSNL1	7447	NM_003385	0.49	0.45	0.04
EXTL1	2134	NM_004455	-0.53	-0.57	0.04
OR1Q1	158131	NM_012364	-0.55	-0.59	0.04
PCDHB1	29930	NM_013340	-0.92	-0.96	0.04
IL8	3576	NM_000584	0.89	0.86	0.03
FMO5	2330	NM_001461	-0.47	-0.5	0.03
CUL2	8453	NM_003591	0.81	0.78	0.03
PTPN3	5774	NM_002829	0.39	0.36	0.03
AREG	374	NM_001657	1.25	1.22	0.03
ARHGAP4	393	NM_001666	-0.48	-0.51	0.03
LMO3	55885	NM_001001395	-1.02	-1.05	0.03
FABP3	2170	NM_004102	0.72	0.69	0.03
NPTX1	4884	NM_002522	1.21	1.18	0.03
PDE6A	5145	NM_000440	1.99	1.96	0.03
RAP2B	5912	NM_002886	-0.64	-0.67	0.03
BAG5	9529	NM_004873	-0.61	-0.64	0.03
GP5	2814	NM_004488	-1.28	-1.31	0.03
PCDHA7	56141	NM_018910	-1.19	-1.22	0.03
PCDHA8	56140	NM_018911	-0.86	-0.89	0.03
LHX4	89884	NM_033343	-0.65	-0.68	0.03
RFX3	5991	NM_002919	-0.88	-0.91	0.03
SP3	6670	NM_003111	-1.42	-1.45	0.03
UBE2Q	55585	NM_017582	0.64	0.61	0.03
ENPEP	2028	NM_001977	-1.48	-1.51	0.03
FBXO21	23014	NM_015002	-0.31	-0.34	0.03
MMP10	4319	NM_002425	-0.94	-0.97	0.03
PPP1R3E	90673	XM_033391	-1.39	-1.42	0.03
ZFYVE9	9372	NM_004799	-1.13	-1.16	0.03
GPR110	266977	NM_153840	0.07	0.04	0.03
SLC2A8	29988	NM_014580	0.12	0.09	0.03
DAAM1	23002	NM_014992	0.09	0.06	0.03
LHX5	64211	NM_022363	0	-0.03	0.03
NBR2	10230	NM_005821	-0.32	-0.35	0.03
SCAMP2	10066	NM_005697	-0.38	-0.41	0.03
STATIP1	55250	NM_018255	-0.38	-0.41	0.03
ATF5	22809	NM_012068	0.36	0.33	0.03
PDE4A	5141	NM_006202	-0.67	-0.7	0.03
CGB1	114335	NM_033377	-0.92	-0.95	0.03
PVRL3	25945	NM_015480	-0.81	-0.84	0.03
CIDEA	1149	NM_001279	-0.55	-0.58	0.03
SIX3	6496	NM_005413	-0.92	-0.95	0.03
FBXO24	26261	NM_033506	-0.92	-0.95	0.03
MRC2	9902	NM_006039	2.13	2.1	0.03
WEE1	7465	NM_003390	1.14	1.11	0.03
DRD5	1816	NM_000798	0.89	0.87	0.02
HRH3	11255	NM_007232	0.51	0.49	0.02
PDE4C	5143	NM_000923	0.8	0.78	0.02
HERC1	8925	NM_003922	-0.89	-0.91	0.02
TRAF6	7189	NM_004620	-1.05	-1.07	0.02
GRIA3	2892	NM_000828	1.34	1.32	0.02
LILRB2	10288	NM_005874	-0.72	-0.74	0.02
BDNF	627	NM_001709	-0.72	-0.74	0.02
NPAS1	4861	NM_002517	-1.07	-1.09	0.02
KRTHA5	3886	NM_002280	2.13	2.11	0.02
TUSC3	7991	NM_006765	-0.99	-1.01	0.02
SLC4A1	6521	NM_000342	-0.41	-0.43	0.02
ASL	435	NM_000048	-0.52	-0.54	0.02
FLJ22635	80162	NM_025092	1.55	1.53	0.02
KAI1	3732	NM_002231	-0.84	-0.86	0.02
LAMA2	3908	NM_000426	-0.54	-0.56	0.02
MAD1L1	8379	NM_003550	-0.82	-0.84	0.02
CENPA	1058	NM_001809	-0.61	-0.63	0.02
DLK1	8788	NM_003836	-0.52	-0.54	0.02
GIPC2	54810	NM_017655	-1.17	-1.19	0.02
HRB2	11103	NM_007043	-1.19	-1.21	0.02
PRDM7	11105	NM_052996	-0.75	-0.77	0.02
SPARCL1	8404	NM_004684	-0.69	-0.71	0.02
ZIC2	7546	NM_007129	-0.95	-0.97	0.02
ALX3	257	NM_006492	-0.49	-0.51	0.02
ZIC1	7545	NM_003412	1.97	1.95	0.02
ABHD4	63874	NM_022060	-1.15	-1.17	0.02
TMEM4	10330	NM_014255	-0.96	-0.98	0.02
MMP11	4320	NM_005940	0.45	0.43	0.02
DNCI2	1781	NM_001378	-0.35	-0.37	0.02
POU6F1	5463	XM_370693	0.11	0.09	0.02
ACVR2	92	NM_001616	0.02	0	0.02
HGFAC	3083	NM_001528	0	-0.02	0.02
HSPA1L	3305	NM_005527	-0.02	-0.04	0.02
AKAP4	8852	NM_003886	0.06	0.04	0.02
CFC1	55997	NM_032545	-0.13	-0.15	0.02
CYB5	1528	NM_001914	-0.22	-0.24	0.02
E2F6	1876	NM_001952	-0.13	-0.15	0.02
ID4	3400	NM_001546	0.22	0.2	0.02
UBE1C	9039	NM_003968	-0.33	-0.35	0.02
APOL1	8542	NM_003661	0.41	0.39	0.02
PFDN5	5204	NM_002624	-0.28	-0.3	0.02
OAS3	4940	NM_006187	-0.34	-0.36	0.02
MPZL1	9019	NM_003953	1.38	1.36	0.02
SLC25A19	60386	NM_021734	-1.12	-1.14	0.02
NQO2	4835	NM_000904	2.43	2.42	0.01
DGKZ	8525	NM_003646	0.33	0.32	0.01
PFTK1	5218	NM_012395	0.7	0.69	0.01
ADORA2A	135	NM_000675	0.38	0.37	0.01
GLP1R	2740	NM_002062	0.5	0.49	0.01
USP22	23326	XM_042698	-0.61	-0.62	0.01
AMFR	267	NM_001144	-0.99	-1	0.01
TP53BP2	7159	NM_005426	-0.86	-0.87	0.01
ANGPTL1	9068	NM_004673	-1.03	-1.04	0.01
FCGR2B	2213	NM_004001	1.07	1.06	0.01
AR	367	NM_000044	-0.44	-0.45	0.01
ARF3	377	NM_001659	-0.35	-0.36	0.01
BSND	7809	NM_057176	1.27	1.26	0.01
DAD1	1603	NM_001344	0.96	0.95	0.01
FABP4	2167	NM_001442	0.17	0.16	0.01
GTF3C2	2976	NM_001521	1.16	1.15	0.01
KRTHB6	3892	NM_002284	0.48	0.47	0.01
HUS1	3364	NM_004507	-1.18	-1.19	0.01
CABP1	9478	NM_004276	-1.16	-1.17	0.01
HSPB7	27129	NM_014424	0.93	0.92	0.01
MICB	4277	NM_005931	-0.79	-0.8	0.01
PREB	10113	NM_013388	-1.25	-1.26	0.01
ANXA5	308	NM_001154	-0.97	-0.98	0.01
ARHGDIA	396	NM_004309	-0.55	-0.56	0.01
BTEB1	687	NM_001206	0.51	0.5	0.01
PRDM16	63976	NM_022114	-1.38	-1.39	0.01
PROP1	5626	NM_006261	1.32	1.31	0.01
ADAM30	11085	NM_021794	-1.14	-1.15	0.01
ADPRTL2	10038	NM_005484	0.42	0.41	0.01
PPID	5481	NM_005038	-0.54	-0.55	0.01
TRNT1	51095	NM_016000	-1.13	-1.14	0.01
SOD3	6649	NM_003102	-0.37	-0.38	0.01
DNCL1	8655	NM_003746	-0.21	-0.22	0.01
I-4	80316	NM_025210	-1.58	-1.59	0.01
CDKN1A	1026	NM_000389	0.02	0.01	0.01
CDH20	28316	NM_031891	-0.14	-0.15	0.01
CTNNBIP1	56998	NM_020248	-0.17	-0.18	0.01
SLC12A2	6558	NM_001046	-0.28	-0.29	0.01
RECQL4	9401	NM_004260	-0.34	-0.35	0.01
LAMB2	3913	NM_002292	0.82	0.81	0.01
EPHB4	2050	NM_004444	1.13	1.12	0.01
LISCH7	51599	NM_015925	2.55	2.54	0.01
PFKFB2	5208	NM_006212	0.43	0.43	0
SOCS1	8651	NM_003745	0.43	0.43	0
LTB4R2	56413	NM_019839	-0.27	-0.27	0
KLKB1	3818	NM_000892	-0.73	-0.73	0
PA2G4	5036	NM_006191	0.05	0.05	0
TRAF4	9618	NM_004295	-0.7	-0.7	0
BTRC	8945	NM_003939	-0.88	-0.88	0
IK	3550	NM_006083	-0.33	-0.33	0
FGF19	9965	NM_005117	0.65	0.65	0
SOCS2	8835	NM_003877	1.62	1.62	0
ACTL7A	10881	NM_006687	0.71	0.71	0
KRT6A	3853	NM_005554	0.64	0.64	0
LMNA	4000	NM_170707	2.72	2.72	0
THBS1	7057	NM_003246	0.33	0.33	0
TTPA	7274	NM_000370	-0.13	-0.13	0
CASP8AP2	9994	NM_012115	2.07	2.07	0
ERCC4	2072	NM_005236	0.09	0.09	0
GSTT2	2953	NM_000854	-0.3	-0.3	0
IL12A	3592	NM_000882	0.31	0.31	0
KREMEN1	83999	NM_032045	-0.59	-0.59	0
KRT18	3875	NM_000224	-0.53	-0.53	0
LPP	4026	NM_005578	-0.36	-0.36	0
PSMD5	5711	NM_005047	-1.09	-1.09	0
C18ORF8	29919	NM_013326	-0.43	-0.43	0
MME	4311	NM_000902	-0.07	-0.07	0
SNURF	8926	NM_005678	-0.56	-0.56	0
ARID3B	10620	NM_006465	-1.28	-1.28	0
FXR1	8087	NM_005087	-1.4	-1.4	0
KIAA1365	57554	NM_020794	-1.29	-1.29	0
MYH11	4629	NM_002474	-0.35	-0.35	0
OSBP	5007	NM_002556	-1.39	-1.39	0
TAL1	6886	NM_003189	-0.67	-0.67	0
EGR3	1960	NM_004430	-0.88	-0.88	0
NFE2L2	4780	NM_006164	-0.47	-0.47	0
POU2F1	5451	NM_002697	-1.17	-1.17	0
EIF1AY	9086	NM_004681	-1	-1	0
UGT1A6	54578	NM_001072	-0.96	-0.96	0
VNN2	8875	NM_004665	0.53	0.53	0
ADAM17	6868	NM_003183	-0.11	-0.11	0
DFFB	1677	NM_004402	-0.34	-0.34	0
KIAA0303	23227	XM_291141	-0.03	-0.03	0
GTF2F2	2963	NM_004128	-1.42	-1.42	0
RHO	6010	NM_000539	3.29	3.3	-0.01
KCNH7	90134	NM_033272	0.56	0.57	-0.01
EOMES	8320	NM_005442	-0.69	-0.68	-0.01
CCND3	896	NM_001760	0.4	0.41	-0.01
RPS6KB1	6198	NM_003161	0.14	0.15	-0.01
UQCRC1	7384	NM_003365	-0.24	-0.23	-0.01
FUT1	2523	NM_000148	-0.08	-0.07	-0.01
IPO7	10527	NM_006391	-0.12	-0.11	-0.01
FN1	2335	NM_002026	-0.01	0	-0.01
EHHADH	1962	NM_001966	0.04	0.05	-0.01
ALS2CR7	65061	NM_139158	-0.13	-0.12	-0.01
BMPR2	659	NM_001204	0.39	0.4	-0.01
DKFZP761P0423	157285	XM_291277	1.08	1.09	-0.01
FLJ10761	55224	NM_018208	1.44	1.45	-0.01
LMTK2	22853	NM_014916	1.25	1.26	-0.01
PRKAG1	5571	NM_002733	-0.59	-0.58	-0.01
TLR3	7098	NM_003265	-1.45	-1.44	-0.01
CCL25	6370	NM_005624	0.32	0.33	-0.01
GPR78	27201	NM_080819	0.5	0.51	-0.01
PTGER2	5732	NM_000956	-0.16	-0.15	-0.01
GGT2	2679	XM_290331	-0.42	-0.41	-0.01
USP44	84101	NM_032147	-0.52	-0.51	-0.01
USP46	64854	NM_022832	-0.76	-0.75	-0.01
SHC3	53358	NM_016848	-0.2	-0.19	-0.01
NR3C1	2908	NM_000176	0.16	0.17	-0.01
C1QB	713	NM_000491	1.03	1.04	-0.01
CST7	8530	NM_003650	1.75	1.76	-0.01
KIAA1856	84629	XM_376567	0.85	0.86	-0.01
LAMA4	3910	NM_002290	-0.42	-0.41	-0.01
XDH	7498	NM_000379	-0.77	-0.76	-0.01
TXNDC7	10130	NM_005742	-0.91	-0.9	-0.01
SMN2	6607	NM_017411	-1.01	-1	-0.01
BAD	572	NM_004322	-0.36	-0.35	-0.01
CASQ1	844	NM_001231	-0.55	-0.54	-0.01
GCM2	9247	NM_004752	-0.59	-0.58	-0.01
MLLT4	4301	NM_005936	-1.51	-1.5	-0.01
HHEX	3087	NM_002729	1.4	1.41	-0.01
MSX2	4488	NM_002449	-0.59	-0.58	-0.01
ADAM32	203102	NM_145004	-0.53	-0.52	-0.01
AKR1C4	1109	NM_001818	0.47	0.48	-0.01
TUBB4	10381	NM_006086	-0.6	-0.59	-0.01
PITRM1	10531	NM_014889	-1.42	-1.41	-0.01
SERPINA10	51156	NM_016186	-0.61	-0.6	-0.01
PTPLA	9200	NM_014241	-1.13	-1.11	-0.02
FZD1	8321	NM_003505	0.46	0.48	-0.02
CTF1	1489	NM_001330	-0.36	-0.34	-0.02
TGIF2LX	90316	NM_138960	-0.36	-0.34	-0.02
CACNA1F	778	NM_005183	-0.18	-0.16	-0.02
DAZ	1617	NM_004081	-0.19	-0.17	-0.02
GM2A	2760	NM_000405	-0.19	-0.17	-0.02
KCNC3	3748	NM_004977	-0.06	-0.04	-0.02
HOXB7	3217	NM_004502	0	0.02	-0.02
GSTM3	2947	NM_000849	0.06	0.08	-0.02
DLG4	1742	NM_001365	2	2.02	-0.02
EKI1	55500	NM_018638	0.58	0.6	-0.02
FRAP1	2475	NM_004958	0.69	0.71	-0.02
MAPKAPK3	7867	NM_004635	2.21	2.23	-0.02
STK16	8576	NM_003691	1.49	1.51	-0.02
GNS	2799	NM_002076	-0.89	-0.87	-0.02
MGC3234	66005	NM_023947	-0.76	-0.74	-0.02
USP7	7874	NM_003470	-0.55	-0.53	-0.02
HERC2	8924	NM_004667	-1.12	-1.1	-0.02
TNFRSF8	943	NM_001243	0.65	0.67	-0.02
IFNA13	3447	NM_006900	-0.64	-0.62	-0.02
IL24	11009	NM_006850	1.89	1.91	-0.02
SMTN	6525	NM_006932	1.4	1.42	-0.02
ABCC5	10057	NM_005688	-0.68	-0.66	-0.02
CPNE5	57699	NM_020939	1.38	1.4	-0.02
DC13	56942	NM_020188	0.54	0.56	-0.02
KIAA1683	80726	XM_371146	-0.93	-0.91	-0.02
NAT1	9	NM_000662	-0.14	-0.12	-0.02
SERTAD1	29950	NM_013376	0.85	0.87	-0.02
CDH7	1005	NM_004361	-0.91	-0.89	-0.02
MKL1	57591	NM_020831	-1.25	-1.23	-0.02
PCDH11Y	83259	NM_032971	-1.17	-1.15	-0.02
PICALM	8301	NM_007166	-1.44	-1.42	-0.02
SP100	6672	NM_003113	-0.86	-0.84	-0.02
MXD4	10608	NM_006454	1	1.02	-0.02
PAX3	5077	NM_000438	-0.78	-0.76	-0.02
EIF2B5	8893	NM_003907	-1.04	-1.02	-0.02
POLH	5429	NM_006502	0.42	0.44	-0.02
HSD17B4	3295	NM_000414	-0.79	-0.77	-0.02
TRAR4	319100	NM_175067	0.67	0.7	-0.03
BRAP	8315	NM_006768	-0.58	-0.55	-0.03
GABRP	2568	NM_014211	0.54	0.57	-0.03
KCND3	3752	NM_004980	0.54	0.57	-0.03
C9ORF100	84904	NM_032818	0.8	0.83	-0.03
DMWD	1762	XM_496318	0.44	0.47	-0.03
MGC40069	348035	NM_182615	-0.37	-0.34	-0.03
PAXIP1L	22976	NM_007349	-0.48	-0.45	-0.03
PRKAR1B	5575	NM_002735	-0.48	-0.45	-0.03
GTF3C3	9330	NM_012086	-0.43	-0.4	-0.03
USP38	84640	NM_032557	0.17	0.2	-0.03
THBD	7056	NM_000361	0.17	0.2	-0.03
BCCIP	56647	NM_016567	-0.23	-0.2	-0.03
SFTPB	6439	NM_000542	0.2	0.23	-0.03
RNUT1	10073	NM_005701	-0.04	-0.01	-0.03
ABO	28	NM_020469	-0.13	-0.1	-0.03
FGA	2243	NM_000508	0.04	0.07	-0.03
PLK3	1263	NM_004073	1.39	1.42	-0.03
GNAI3	2773	NM_006496	1.3	1.33	-0.03
DPYS	1807	NM_001385	-0.97	-0.94	-0.03
HERC5	51191	NM_016323	-0.33	-0.3	-0.03
KCNH2	3757	NM_000238	1.68	1.71	-0.03
SH120	51463	NM_016334	-0.52	-0.49	-0.03
BMP15	9210	NM_005448	-0.34	-0.31	-0.03
SLC5A5	6528	NM_000453	0.29	0.32	-0.03
TRPC1	7220	NM_003304	1.07	1.1	-0.03
CATSPER1	117144	NM_053054	0.52	0.55	-0.03
WHSC2	7469	NM_005663	-0.38	-0.35	-0.03
ENG	2022	NM_000118	-1.29	-1.26	-0.03
NDN	4692	NM_002487	-0.75	-0.72	-0.03
NID2	22795	NM_007361	-1.46	-1.43	-0.03
PCBP2	5094	NM_005016	0.74	0.77	-0.03
ZNF161	7716	NM_007146	-0.81	-0.78	-0.03
ALDH6A1	4329	NM_005589	-0.92	-0.89	-0.03
TREX2	11219	NM_007205	-0.4	-0.37	-0.03
PRIC285	85441	NM_033405	-0.98	-0.95	-0.03
PPP1R10	5514	NM_002714	2.36	2.39	-0.03
TLR4	7099	NM_003266	1.09	1.13	-0.04
OR52A1	23538	NM_012375	-1.63	-1.59	-0.04
PTPRM	5797	NM_002845	1.11	1.15	-0.04
FLG	2312	XM_048104	1.86	1.9	-0.04
PIR	8544	NM_003662	-1.13	-1.09	-0.04
TULP1	7287	NM_003322	-1.38	-1.34	-0.04
NTRK2	4915	NM_006180	-0.96	-0.92	-0.04
TLR5	7100	NM_003268	-0.84	-0.8	-0.04
DKFZP434B168	25896	NM_015434	-0.69	-0.65	-0.04
SIRPB1	10326	NM_006065	0.56	0.6	-0.04
CSPG2	1462	NM_004385	-0.6	-0.56	-0.04
ING4	51147	NM_016162	-0.71	-0.67	-0.04
RAI1	10743	NM_030665	-0.84	-0.8	-0.04
EIF2B4	8890	NM_015636	-0.82	-0.78	-0.04
CX3CR1	1524	NM_001337	0.25	0.29	-0.04
SHFM3	6468	NM_022039	0.45	0.49	-0.04
PEX7	5191	NM_000288	-0.35	-0.31	-0.04
CXCL14	9547	NM_004887	-0.38	-0.34	-0.04
AKIP	54998	NM_017900	0.38	0.42	-0.04
LMAN1	3998	NM_005570	-0.47	-0.43	-0.04
SEPN1	57190	NM_020451	0.31	0.35	-0.04
FBXO23	26262	NM_130465	-0.37	-0.33	-0.04
UBE4A	9354	NM_004788	-0.06	-0.02	-0.04
PSD	5662	NM_002779	0.02	0.06	-0.04
PGK1	5230	NM_000291	0.01	0.05	-0.04
STK3	6788	NM_006281	-0.07	-0.03	-0.04
TFPT	29844	NM_013342	-0.2	-0.16	-0.04
FYN	2534	NM_002037	0.35	0.39	-0.04
LMTK3	114783	XM_055866	2.16	2.2	-0.04
VRK1	7443	NM_003384	1.31	1.35	-0.04
OPRM1	4988	NM_000914	-0.73	-0.69	-0.04
DPM1	8813	NM_003859	-1.04	-1	-0.04
LOC134147	134147	NM_138809	-0.67	-0.63	-0.04
